virus	virulent	temperate
NODE_2805_length_2358_cov_3.557968	0.8118782016546146	0.1881217983453865
NODE_1347_length_3069_cov_34.260451	0.8118782016546146	0.1881217983453865
NODE_844_length_5836_cov_27.449922	0.8118782016546146	0.1881217983453865
NODE_1631_length_2537_cov_4.762288	0.8118782016546146	0.1881217983453865
NODE_1575_length_2587_cov_4.397709	0.8118782016546146	0.1881217983453865
NODE_359_length_6935_cov_5.444913	0.15	0.85
NODE_772_length_3519_cov_8.262991	0.8118782016546146	0.1881217983453865
NODE_17_length_40591_cov_28.392293	0.0375	0.9625
NODE_652_length_10452_cov_8.919592	0.931779094256249	0.06822090574375078
NODE_535_length_9302_cov_18.873472	0.45258810572687225	0.5474118942731276
NODE_253_length_10761_cov_24.310854	0.0375	0.9625
NODE_2595_length_2506_cov_4.128519	0.8118782016546146	0.1881217983453865
NODE_1125_length_2758_cov_3.078801	0.8118782016546146	0.1881217983453865
NODE_817_length_4606_cov_10.906834	0.8118782016546146	0.1881217983453865
NODE_6235_length_1316_cov_8.171293	0.9987156186452293	0.0012843813547707623
NODE_3237_length_1374_cov_3.844579	0.8118782016546146	0.1881217983453865
NODE_5977_length_1065_cov_2.836634	0.8118782016546146	0.1881217983453865
NODE_206_length_23661_cov_285.596331	0.9	0.1
NODE_2153_length_1981_cov_4.637591	0.8118782016546146	0.1881217983453865
NODE_1105_length_5332_cov_3.971575	0.8118782016546146	0.1881217983453865
NODE_1744_length_3031_cov_72.943884	0.8149560776388558	0.18504392236114506
NODE_86_length_18717_cov_289.596774	0.8125	0.1875
NODE_1109_length_4231_cov_23.831418	0.0125	0.9875
NODE_680_length_2611_cov_5.318466	0.8118782016546146	0.1881217983453865
NODE_140_length_42940_cov_112.379737	0.8375	0.1625
NODE_463_length_12161_cov_9.640674	0.8868570929616819	0.11314290703831811
NODE_1717_length_3737_cov_4.790060	0.8118782016546146	0.1881217983453865
NODE_2988_length_1000_cov_29.940741	0.8118782016546146	0.1881217983453865
NODE_634_length_3858_cov_41.866421	0.8461605166393262	0.15383948336067438
NODE_1657_length_2898_cov_7.392191	0.8118782016546146	0.1881217983453865
NODE_179_length_34455_cov_9.524186	0.0125	0.9875
NODE_1216_length_2910_cov_5.361821	0.8118782016546146	0.1881217983453865
NODE_689_length_11453_cov_7.538691	0.8252202643171807	0.1747797356828194
NODE_1974_length_1324_cov_3.793538	0.8440918580422796	0.15590814195772124
NODE_631_length_3034_cov_10.270896	0.8118782016546146	0.1881217983453865
NODE_669_length_3318_cov_13.807539	0.2625	0.7375
NODE_2142_length_1572_cov_2.471325	0.8271306338608608	0.17286936613914
NODE_608_length_12965_cov_13.707514	0.925	0.075
NODE_1428_length_1019_cov_1.274896	0.8118782016546146	0.1881217983453865
NODE_98_length_33801_cov_18.976797	0.744809508971901	0.2551904910280992
NODE_1216_length_4501_cov_23.658794	0.8118782016546146	0.1881217983453865
NODE_920_length_3634_cov_6.538698	0.0125	0.9875
NODE_1352_length_2592_cov_8.143871	0.8118782016546146	0.1881217983453865
NODE_1474_length_4254_cov_5.462967	0.8118782016546146	0.1881217983453865
NODE_2327_length_2704_cov_11.934315	0.8118782016546146	0.1881217983453865
NODE_2_length_2231_cov_4.778033	0.8118782016546146	0.1881217983453865
NODE_3716_length_1611_cov_2.967866	0.1625	0.8375
NODE_173_length_34151_cov_24.803555	0.85	0.15
NODE_90_length_62992_cov_10.132212|provirus_26642_40949	0.075	0.925
NODE_2138_length_2448_cov_4.907229	0.8118782016546146	0.1881217983453865
NODE_570_length_6989_cov_7.928613	0.5	0.5
NODE_240_length_3473_cov_3.342891	0.8118782016546146	0.1881217983453865
NODE_1375_length_3855_cov_5.352368	0.8118782016546146	0.1881217983453865
NODE_499_length_7571_cov_37.322113	0.025	0.975
NODE_660_length_7949_cov_14.370661	0.9107929515418502	0.08920704845814986
NODE_474_length_13836_cov_8.532327	0.8118782016546146	0.1881217983453865
NODE_1301_length_3222_cov_5.783075	0.0	1.0
NODE_1058_length_3319_cov_5.354473	0.8118782016546146	0.1881217983453865
NODE_396_length_13688_cov_5.961417	0.8118782016546146	0.1881217983453865
